,Attrition,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,YearsInCurrentRole,YearsSinceLastPromotion
0,Yes,41,Travel_Rarely,Sales,1,2,Life Sciences,Female,Sales Executive,4,Single,5993,8,Yes,11,4,0
1,No,49,Travel_Frequently,Research & Development,8,1,Life Sciences,Male,Research Scientist,2,Married,5130,1,No,23,7,1
2,Yes,37,Travel_Rarely,Research & Development,2,2,Other,Male,Laboratory Technician,3,Single,2090,6,Yes,15,0,0
3,No,33,Travel_Frequently,Research & Development,3,4,Life Sciences,Female,Research Scientist,3,Married,2909,1,Yes,11,7,3
4,No,27,Travel_Rarely,Research & Development,2,1,Medical,Male,Laboratory Technician,2,Married,3468,9,No,12,2,2
5,No,32,Travel_Frequently,Research & Development,2,2,Life Sciences,Male,Laboratory Technician,4,Single,3068,0,No,13,7,3
6,No,59,Travel_Rarely,Research & Development,3,3,Medical,Female,Laboratory Technician,1,Married,2670,4,Yes,20,0,0
7,No,30,Travel_Rarely,Research & Development,24,1,Life Sciences,Male,Laboratory Technician,3,Divorced,2693,1,No,22,0,0
8,No,38,Travel_Frequently,Research & Development,23,3,Life Sciences,Male,Manufacturing Director,3,Single,9526,0,No,21,7,1
9,No,36,Travel_Rarely,Research & Development,27,3,Medical,Male,Healthcare Representative,3,Married,5237,6,No,13,7,7
10,No,35,Travel_Rarely,Research & Development,16,3,Medical,Male,Laboratory Technician,2,Married,2426,0,No,13,4,0
11,No,29,Travel_Rarely,Research & Development,15,2,Life Sciences,Female,Laboratory Technician,3,Single,4193,0,Yes,12,5,0
12,No,31,Travel_Rarely,Research & Development,26,1,Life Sciences,Male,Research Scientist,3,Divorced,2911,1,No,17,2,4
13,No,34,Travel_Rarely,Research & Development,19,2,Medical,Male,Laboratory Technician,4,Divorced,2661,0,No,11,2,1
14,Yes,28,Travel_Rarely,Research & Development,24,3,Life Sciences,Male,Laboratory Technician,3,Single,2028,5,Yes,14,2,0
15,No,29,Travel_Rarely,Research & Development,21,4,Life Sciences,Female,Manufacturing Director,1,Divorced,9980,1,No,11,9,8
16,No,32,Travel_Rarely,Research & Development,5,2,Life Sciences,Male,Research Scientist,2,Divorced,3298,0,Yes,12,2,0
17,No,22,Non-Travel,Research & Development,16,2,Medical,Male,Laboratory Technician,4,Divorced,2935,1,Yes,13,0,0
18,No,53,Travel_Rarely,Sales,2,4,Life Sciences,Female,Manager,4,Married,15427,2,No,16,8,3
19,No,38,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,Research Scientist,4,Single,3944,5,Yes,11,2,1
20,No,24,Non-Travel,Research & Development,11,2,Other,Female,Manufacturing Director,3,Divorced,4011,0,No,18,2,1
21,Yes,36,Travel_Rarely,Sales,9,4,Life Sciences,Male,Sales Representative,1,Single,3407,7,No,23,3,0
22,No,34,Travel_Rarely,Research & Development,7,4,Life Sciences,Female,Research Director,2,Single,11994,0,No,11,6,2
23,No,21,Travel_Rarely,Research & Development,15,2,Life Sciences,Male,Research Scientist,4,Single,1232,1,No,14,0,0
24,Yes,34,Travel_Rarely,Research & Development,6,1,Medical,Male,Research Scientist,1,Single,2960,2,No,11,2,1
25,No,53,Travel_Rarely,Research & Development,5,3,Other,Female,Manager,3,Divorced,19094,4,No,11,13,4
26,Yes,32,Travel_Frequently,Research & Development,16,1,Life Sciences,Female,Research Scientist,1,Single,3919,1,Yes,22,2,6
27,No,42,Travel_Rarely,Sales,8,4,Marketing,Male,Sales Executive,2,Married,6825,0,No,11,7,4
28,No,44,Travel_Rarely,Research & Development,7,4,Medical,Female,Healthcare Representative,4,Married,10248,3,No,14,6,5
29,No,46,Travel_Rarely,Sales,2,4,Marketing,Female,Manager,1,Single,18947,3,No,12,2,2
30,No,33,Travel_Rarely,Research & Development,2,3,Medical,Male,Laboratory Technician,4,Single,2496,4,No,11,1,0
31,No,44,Travel_Rarely,Research & Development,10,4,Other,Male,Healthcare Representative,4,Married,6465,2,Yes,13,2,1
32,No,30,Travel_Rarely,Research & Development,9,2,Medical,Male,Laboratory Technician,3,Single,2206,1,No,13,0,1
33,Yes,39,Travel_Rarely,Sales,5,3,Technical Degree,Male,Sales Representative,4,Married,2086,3,No,14,0,0
34,Yes,24,Travel_Rarely,Research & Development,1,3,Medical,Male,Research Scientist,4,Married,2293,2,Yes,16,0,2
35,No,43,Travel_Rarely,Research & Development,2,2,Medical,Female,Research Scientist,3,Divorced,2645,1,No,12,3,1
36,Yes,50,Travel_Rarely,Sales,3,2,Marketing,Male,Sales Representative,3,Married,2683,1,Yes,14,2,0
37,No,35,Travel_Rarely,Sales,2,3,Marketing,Female,Sales Representative,4,Married,2014,1,No,13,2,2
38,No,36,Travel_Rarely,Research & Development,5,4,Life Sciences,Female,Research Scientist,1,Married,3419,9,Yes,14,1,0
39,No,33,Travel_Frequently,Sales,1,3,Life Sciences,Female,Sales Executive,1,Married,5376,2,No,19,3,1
40,No,35,Travel_Rarely,Research & Development,4,2,Other,Male,Laboratory Technician,4,Divorced,1951,1,No,12,0,0
41,No,27,Travel_Rarely,Research & Development,2,4,Life Sciences,Female,Laboratory Technician,1,Divorced,2341,1,No,13,0,0
42,Yes,26,Travel_Rarely,Research & Development,25,3,Life Sciences,Male,Laboratory Technician,3,Single,2293,1,No,12,0,0
43,No,27,Travel_Frequently,Sales,8,3,Life Sciences,Male,Sales Executive,3,Single,8726,1,No,15,8,1
44,No,30,Travel_Frequently,Research & Development,1,2,Medical,Female,Laboratory Technician,4,Single,4011,1,No,23,8,3
45,Yes,41,Travel_Rarely,Research & Development,12,3,Technical Degree,Female,Research Director,3,Married,19545,1,No,12,15,15
46,No,34,Non-Travel,Sales,23,4,Marketing,Male,Sales Executive,3,Single,4568,0,No,20,5,8
47,No,37,Travel_Rarely,Research & Development,19,2,Life Sciences,Male,Research Scientist,2,Married,3022,4,No,21,0,0
48,No,46,Travel_Frequently,Sales,5,4,Marketing,Male,Sales Executive,4,Single,5772,4,Yes,21,6,0
49,No,35,Travel_Rarely,Research & Development,8,1,Life Sciences,Male,Laboratory Technician,4,Married,2269,1,No,19,0,0
50,Yes,48,Travel_Rarely,Research & Development,1,2,Life Sciences,Male,Laboratory Technician,3,Single,5381,9,Yes,13,0,0
51,Yes,28,Travel_Rarely,Research & Development,5,4,Technical Degree,Male,Laboratory Technician,3,Single,3441,1,Yes,13,2,2
52,No,44,Travel_Rarely,Sales,1,5,Marketing,Female,Sales Executive,1,Divorced,5454,5,Yes,21,3,1
53,No,35,Non-Travel,Research & Development,11,2,Medical,Male,Healthcare Representative,1,Married,9884,2,Yes,13,0,2
54,No,26,Travel_Rarely,Sales,23,3,Marketing,Female,Sales Executive,4,Married,4157,7,Yes,19,2,0
55,No,33,Travel_Frequently,Research & Development,1,2,Life Sciences,Female,Research Director,4,Single,13458,1,Yes,12,14,8
56,No,35,Travel_Frequently,Sales,18,5,Life Sciences,Male,Sales Executive,1,Married,9069,1,No,22,8,1
57,No,35,Travel_Rarely,Research & Development,23,4,Medical,Female,Laboratory Technician,1,Married,4014,3,Yes,15,2,2
58,No,31,Travel_Rarely,Research & Development,7,4,Life Sciences,Male,Laboratory Technician,4,Divorced,5915,3,No,22,7,1
59,No,37,Travel_Rarely,Research & Development,1,4,Life Sciences,Male,Manufacturing Director,3,Divorced,5993,1,No,18,5,0
60,No,32,Travel_Rarely,Research & Development,1,3,Medical,Male,Manufacturing Director,4,Married,6162,1,Yes,22,8,7
61,No,38,Travel_Frequently,Research & Development,29,5,Life Sciences,Female,Laboratory Technician,4,Single,2406,1,No,11,3,9
62,No,50,Travel_Rarely,Research & Development,7,2,Medical,Female,Research Director,3,Divorced,18740,5,Yes,12,3,13
63,No,59,Travel_Rarely,Sales,25,3,Life Sciences,Female,Sales Executive,1,Single,7637,7,No,11,16,7
64,No,36,Travel_Rarely,Research & Development,8,3,Technical Degree,Female,Healthcare Representative,3,Divorced,10096,1,No,13,14,12
65,No,55,Travel_Rarely,Research & Development,8,3,Medical,Female,Manager,3,Divorced,14756,2,Yes,14,0,0
66,No,36,Travel_Frequently,Research & Development,11,3,Life Sciences,Male,Manufacturing Director,2,Single,6499,1,No,13,5,0
67,No,45,Travel_Rarely,Research & Development,7,3,Life Sciences,Male,Research Scientist,1,Divorced,9724,2,No,17,0,0
68,No,35,Travel_Frequently,Research & Development,1,3,Medical,Male,Research Scientist,1,Married,2194,4,No,13,2,1
